p,time_mean_sec,time_std_sec,speedup,efficiency
1,0.468654,0.002326,1.0000,1.0000
2,0.244820,0.002266,1.9143,0.9571
4,0.143397,0.007689,3.2682,0.8171
8,0.103816,0.008735,4.5143,0.5643
16,0.082205,0.004059,5.7010,0.3563
32,0.100818,0.006010,4.6485,0.1453
64,0.138380,0.003235,3.3867,0.0529
