p,time_mean_sec,time_std_sec,speedup,efficiency
1,0.467611,0.002219,1.0000,1.0000
2,0.250919,0.008369,1.8636,0.9318
4,0.138148,0.001466,3.3849,0.8462
8,0.101789,0.009384,4.5939,0.5742
16,0.085517,0.006961,5.4680,0.3418
32,0.102946,0.008059,4.5423,0.1419
64,0.138260,0.000758,3.3821,0.0528
