p,time_mean_sec,time_std_sec,speedup,efficiency
1,0.470197,0.006212,1.0000,1.0000
2,0.244653,0.002245,1.9219,0.9609
4,0.137428,0.002120,3.4214,0.8554
8,0.100295,0.011664,4.6882,0.5860
16,0.083941,0.005017,5.6015,0.3501
32,0.103028,0.003659,4.5638,0.1426
64,0.136787,0.002591,3.4375,0.0537
