p,time_mean_sec,time_std_sec,speedup,efficiency
1,0.443552,0.002270,1.0000,1.0000
2,0.238639,0.002957,1.8587,0.9293
4,0.148175,0.003741,2.9934,0.7484
8,0.104718,0.005217,4.2357,0.5295
16,0.088672,0.013544,5.0022,0.3126
32,0.095714,0.023266,4.6341,0.1448
64,0.122159,0.014240,3.6309,0.0567
