p,time_mean_sec,time_std_sec,speedup,efficiency
1,0.107827,0.001650,1.0000,1.0000
2,0.110582,0.002548,0.9751,0.4875
4,0.115068,0.000456,0.9371,0.2343
8,0.138031,0.014795,0.7812,0.0976
16,0.171643,0.011893,0.6282,0.0393
32,0.305896,0.018871,0.3525,0.0110
64,0.362974,0.005854,0.2971,0.0046
