p,time_mean_sec,time_std_sec,speedup,efficiency
1,0.107200,0.001204,1.0000,1.0000
2,0.111126,0.001222,0.9647,0.4823
4,0.116844,0.005189,0.9175,0.2294
8,0.129373,0.005780,0.8286,0.1036
16,0.180572,0.021794,0.5937,0.0371
32,0.293659,0.034921,0.3650,0.0114
64,0.371577,0.010599,0.2885,0.0045
