p,time_mean_sec,time_std_sec,speedup,efficiency
1,0.107924,0.001603,1.0000,1.0000
2,0.108797,0.001804,0.9920,0.4960
4,0.114899,0.001736,0.9393,0.2348
8,0.139550,0.019897,0.7734,0.0967
16,0.165018,0.023115,0.6540,0.0409
32,0.280427,0.050099,0.3849,0.0120
64,0.367949,0.006479,0.2933,0.0046
